2025-11-01 01:56:10.767 [com.telcobright.scheduler.examples.MultiAppSchedulerWithUI.main()] INFO  c.t.s.MultiAppSchedulerManager - Registered app 'sms' with handler SmsJobHandler
2025-11-01 01:56:10.767 [com.telcobright.scheduler.examples.MultiAppSchedulerWithUI.main()] INFO  c.t.s.e.MultiAppSchedulerWithUI - ✅ Registered SMS application → Console output: sms-notifications
2025-11-01 01:56:10.784 [com.telcobright.scheduler.examples.MultiAppSchedulerWithUI.main()] INFO  c.t.scheduler.AppJobHistoryTracker - Job history table 'sipcall_job_execution_history' ensured to exist for app 'sipcall'
2025-11-01 01:56:10.784 [com.telcobright.scheduler.examples.MultiAppSchedulerWithUI.main()] INFO  c.t.scheduler.InfiniteAppScheduler - InfiniteAppScheduler created for app 'sipcall' with table prefix 'sipcall_scheduled_jobs' and history table 'sipcall_job_execution_history'
2025-11-01 01:56:10.784 [com.telcobright.scheduler.examples.MultiAppSchedulerWithUI.main()] INFO  c.t.s.handler.JobHandlerRegistry - Registered job handler for app 'sipcall': SipCallJobHandler
2025-11-01 01:56:10.784 [com.telcobright.scheduler.examples.MultiAppSchedulerWithUI.main()] INFO  c.t.s.MultiAppSchedulerManager - Registered app 'sipcall' with handler SipCallJobHandler
2025-11-01 01:56:10.784 [com.telcobright.scheduler.examples.MultiAppSchedulerWithUI.main()] INFO  c.t.s.e.MultiAppSchedulerWithUI - ✅ Registered SIPCall application → Console output: sipcall-queue
2025-11-01 01:56:10.801 [com.telcobright.scheduler.examples.MultiAppSchedulerWithUI.main()] INFO  c.t.scheduler.AppJobHistoryTracker - Job history table 'payment_gateway_job_execution_history' ensured to exist for app 'payment_gateway'
2025-11-01 01:56:10.801 [com.telcobright.scheduler.examples.MultiAppSchedulerWithUI.main()] INFO  c.t.scheduler.InfiniteAppScheduler - InfiniteAppScheduler created for app 'payment_gateway' with table prefix 'payment_gateway_scheduled_jobs' and history table 'payment_gateway_job_execution_history'
2025-11-01 01:56:10.801 [com.telcobright.scheduler.examples.MultiAppSchedulerWithUI.main()] INFO  c.t.s.handler.JobHandlerRegistry - Registered job handler for app 'payment_gateway': PaymentGatewayJobHandler
2025-11-01 01:56:10.802 [com.telcobright.scheduler.examples.MultiAppSchedulerWithUI.main()] INFO  c.t.s.MultiAppSchedulerManager - Registered app 'payment_gateway' with handler PaymentGatewayJobHandler
2025-11-01 01:56:10.802 [com.telcobright.scheduler.examples.MultiAppSchedulerWithUI.main()] INFO  c.t.s.e.MultiAppSchedulerWithUI - ✅ Registered Payment Gateway application → Console output: payment-transactions
2025-11-01 01:56:10.882 [com.telcobright.scheduler.examples.MultiAppSchedulerWithUI.main()] INFO  io.javalin.Javalin - Starting Javalin ...
2025-11-01 01:56:10.938 [com.telcobright.scheduler.examples.MultiAppSchedulerWithUI.main()] INFO  org.eclipse.jetty.server.Server - jetty-11.0.17; built: 2023-10-09T18:39:14.424Z; git: 48e7716b9462bebea6732b885dbebb4300787a5c; jvm 21.0.5+11-LTS
